day,hits,views,bandwidth
2022-02-11,101,93,10440003
2022-02-12,75,73,5053714
2022-02-13,146,140,9631424
2022-02-14,86,84,3500923
2022-02-15,72,70,3093047
2022-02-16,108,102,9098237
2022-02-17,63,58,6137448
2022-02-18,193,190,13839956
2022-02-19,47,43,1675957
2022-02-20,53,53,3181884
2022-02-21,79,71,7695261
2022-02-22,81,77,9409763
2022-02-23,153,143,9792167
2022-02-24,65,60,5548695
2022-02-25,53,48,899822
2022-02-26,74,71,4846756
2022-02-27,48,48,13521608
2022-02-28,103,82,3844433
2022-03-01,56,53,12452652
2022-03-02,45,42,1506239
2022-03-03,39,37,4223797
2022-03-04,57,55,412869
2022-03-05,109,95,49903223
2022-03-06,120,109,24383769
2022-03-07,29,26,160604
2022-03-08,68,64,5411867
2022-03-09,48,44,5435446
2022-03-10,68,65,8491710
2022-03-11,150,142,20428902
2022-03-12,64,61,6461744
2022-03-13,137,93,14488502
2022-03-14,29,24,55223
2022-03-15,91,86,9819987
2022-03-16,97,93,9317423
2022-03-17,150,134,11765815
2022-03-18,72,67,2602122
2022-03-19,126,120,1918585
2022-03-20,49,47,5933924
2022-03-21,39,38,865865
2022-03-22,77,62,1429072
2022-03-23,113,62,1228200
2022-03-24,44,38,7007483
2022-03-25,54,36,832788
2022-03-26,53,51,5849525
2022-03-27,164,159,12641786
2022-03-28,82,70,7225399
2022-03-29,2038,435,257447160
2022-03-30,61,48,7625194
2022-03-31,37,37,943150
2022-04-01,28,25,9917681
2022-04-02,17,17,344663
2022-04-03,49,45,26200129
2022-04-04,80,78,6776992
2022-04-05,31,30,1836779
2022-04-06,34,33,1044657
2022-04-07,39,37,1773412
2022-04-08,87,80,7207256
2022-04-09,48,47,5384293
2022-04-10,34,30,5026599
2022-04-11,36,35,3132695
2022-04-12,112,68,28577616
2022-04-13,29,28,979998
2022-04-14,26,25,583246
2022-04-15,41,40,3012443
2022-04-16,94,83,10633976
2022-04-17,48,48,3971739
2022-04-18,55,53,2628216
2022-04-19,51,49,1893752
2022-04-20,32,30,3005155
2022-04-21,44,41,2148469
2022-04-22,39,35,2014760
2022-04-23,77,52,418136
2022-04-24,95,82,6829977
2022-04-25,61,57,3483029
2022-04-26,39,34,1293988
2022-04-27,41,37,5152179
2022-04-28,60,59,72845925
2022-04-29,65,62,13106775
2022-04-30,77,75,10433257
2022-05-01,105,101,16081172
2022-05-02,166,130,15770046
2022-05-03,44,43,2043616
2022-05-04,159,157,15991164
2022-05-05,219,138,27864997
2022-05-06,105,37,6501718
2022-05-07,41,38,1632465
2022-05-08,46,44,3018929
2022-05-09,51,49,3407548
2022-05-10,48,44,40254226
2022-05-11,65,62,20741470
2022-05-12,27,22,38364292
2022-05-13,38,36,4862812
2022-05-14,61,59,827374
2022-05-15,57,55,189226
2022-05-16,44,43,3469386
2022-05-17,32,26,25540388
2022-05-18,56,51,1456895
2022-05-19,61,56,3454266
2022-05-20,74,67,4811372
2022-05-21,77,76,11520932
2022-05-22,100,94,10180547
2022-05-23,63,60,7231769
2022-05-24,66,64,4554403
2022-05-25,29,29,2278808
2022-05-26,36,35,3611317
2022-05-27,55,54,3662256
2022-05-28,46,43,4891673
2022-05-29,42,40,3350439
2022-05-30,29,28,2125140
2022-05-31,45,43,4106196
2022-06-01,497,267,91707243
2022-06-02,44,43,592972
2022-06-03,44,44,3681701
2022-06-04,54,52,7871644
2022-06-05,47,47,805656
2022-06-06,27,27,1993279
2022-06-07,98,91,72693883
2022-06-08,59,55,4874748
2022-06-09,30,28,2871989
2022-06-10,59,54,11969676
2022-06-11,48,43,43517615
2022-06-12,66,63,5367296
2022-06-13,38,36,988385
2022-06-14,27,26,2525490
2022-06-15,39,38,6482728
2022-06-16,35,34,2946521
2022-06-17,72,66,12688315
2022-06-18,73,66,4570540
2022-06-19,31,29,10544673
2022-06-20,44,44,9351659
2022-06-21,62,58,2109670
2022-06-22,57,55,98387
2022-06-23,136,135,11390157
2022-06-24,26,25,5685121
2022-06-25,49,49,1059049
2022-06-26,35,35,3463541
2022-06-27,45,44,8335924
2022-06-28,32,32,15487236
2022-06-29,62,55,19644308
2022-06-30,40,34,6704821
2022-07-01,70,61,12624905
2022-07-02,41,39,1552351
2022-07-03,162,149,11815413
2022-07-04,66,64,2353750
2022-07-05,203,185,64986754
2022-07-06,91,89,3726132
2022-07-07,57,56,3514567
2022-07-08,44,43,2448690
2022-07-09,97,84,3020895
2022-07-10,159,158,22782684
2022-07-11,29,27,3511106
2022-07-12,37,36,3065881
2022-07-13,33,32,4516059
2022-07-14,37,35,2766552
2022-07-15,48,46,3288010
2022-07-16,54,52,12047859
2022-07-17,50,48,6417854
2022-07-18,72,68,17662757
