day,hits,views,bandwidth
2022-12-10,1,1,989
2022-12-11,1,1,854
2022-12-14,2,2,2174
2022-12-15,1,1,1467
2022-12-16,1,1,14291
2022-12-17,5,5,5079
2022-12-22,2,2,2174
2022-12-23,1,1,2783
2022-12-26,2,2,2703
2022-12-29,13,7,2997794
2023-01-02,2,2,2173
2023-01-08,2,2,2090
2023-01-10,2,2,2174
2023-01-11,1,1,1089
2023-01-17,3,3,3785
2023-01-18,2,2,2174
2023-01-19,2,2,2188
2023-01-20,8,4,706233
2023-01-24,1,1,1087
2023-01-25,1,1,709
2023-01-26,2,2,2174
2023-01-28,2,2,2188
2023-01-29,2,2,1470
2023-02-01,2,2,2188
2023-02-05,2,2,2571
2023-02-06,1,1,984
2023-02-08,4,4,3886
2023-02-09,8,5,704754
2023-02-10,1,1,1087
2023-02-12,6,3,704030
2023-02-13,3,3,3244
2023-02-14,2,2,2180
2023-02-15,1,1,709
2023-02-16,1,1,14291
2023-02-19,1,1,1349
2023-02-20,6,3,282163
2023-02-21,1,1,1087
2023-02-22,5,5,5143
2023-02-23,1,1,1087
2023-02-25,2,2,2040
2023-02-28,2,2,2173
2023-03-01,2,2,50723
2023-03-02,1,1,1087
2023-03-06,1,1,1822
2023-03-07,2,2,2173
2023-03-08,1,1,3209903
2023-03-09,3,3,3025
2023-03-14,2,2,3224194
2023-03-15,3,3,214366
2023-03-16,2,2,2173
2023-03-17,2,2,700993
2023-03-19,2,2,2090
2023-03-21,2,2,338512
2023-03-22,1,1,14291
2023-03-28,1,1,14291
2023-03-30,1,1,2783
2023-03-31,1,1,13155
2023-04-01,2,2,2174
2023-04-02,8,8,8728
2023-04-03,7,7,19703
2023-04-05,2,2,3274221
2023-04-06,6,3,704020
2023-04-07,1,1,14291
2023-04-08,2,2,2071
2023-04-12,1,1,1395
2023-04-13,2,2,2090
2023-04-14,3,3,552441
2023-04-15,4,4,476567
2023-04-16,4,3,5125
2023-04-17,2,2,864466
2023-04-18,2,2,2188
2023-04-19,1,1,49328
2023-04-20,1,1,992
2023-04-22,1,1,1087
2023-04-25,2,2,2174
2023-04-26,3,3,2889
2023-05-01,1,1,12700
2023-05-02,1,1,2783
2023-05-03,1,1,64318
2023-05-04,5,5,16798
2023-05-05,1,1,148581
2023-05-06,13,7,2133822
2023-05-07,1,1,992
2023-05-08,1,1,3209903
2023-05-09,3,3,65014
2023-05-10,1,1,1395
2023-05-11,1,1,709
2023-05-14,1,1,2783
2023-05-15,3,3,2883
2023-05-16,12,12,12714
2023-05-17,5,5,5454
2023-05-18,1,1,709
2023-05-19,1,1,1082
2023-05-20,2,2,1970
2023-05-22,1,1,709
2023-05-23,4,4,3874
2023-05-25,4,4,4129
2023-05-26,7,7,7627
2023-05-29,4,4,3983
2023-05-30,2,2,1948
2023-05-31,4,4,4521
2023-06-03,9,5,706653
2023-06-07,1,1,709
2023-06-08,5,5,5817
2023-06-09,6,6,6542
2023-06-10,1,1,709
2023-06-12,1,1,854
2023-06-14,2,2,2173
2023-06-15,9,9,596353
2023-06-16,11,11,336729
2023-06-17,1,1,1094
2023-06-22,1,1,1822
2023-06-26,7,7,7388
2023-06-27,7,7,7395
2023-06-28,1,1,1087
